,Date,OVX,VIX,Ratio,Rolling30,Diff,Mean,STD,Z_Score,Max_1y_Z_Score,Min_1y_Z_Score
0,2007-05-10,27.09000015258789,13.600000381469727,1.991911720053961,,,,,,,
1,2007-05-11,26.40999984741211,12.949999809265137,2.0393822576365563,,,,,,,
2,2007-05-14,27.229999542236328,13.960000038146973,1.9505730277813662,,,,,,,
3,2007-05-15,27.889999389648438,14.010000228881836,1.9907208375452246,,,,,,,
4,2007-05-16,27.06999969482422,13.5,2.0051851625795716,,,,,,,
5,2007-05-17,24.860000610351562,13.510000228881836,1.8401184447951053,,,,,,,
6,2007-05-18,24.709999084472656,12.760000228881836,1.9365202696895252,,,,,,,
7,2007-05-21,24.670000076293945,13.300000190734863,1.8548871971806233,,,,,,,
8,2007-05-22,26.030000686645508,13.0600004196167,1.993108717481149,,,,,,,
9,2007-05-23,26.350000381469727,13.239999771118164,1.9901813320986468,,,,,,,
10,2007-05-24,26.6299991607666,14.079999923706055,1.891335177916479,,,,,,,
11,2007-05-25,25.809999465942383,13.34000015258789,1.9347825465305843,,,,,,,
12,2007-05-29,27.829999923706055,13.529999732971191,2.056910604062117,,,,,,,
13,2007-05-30,28.610000610351562,12.829999923706055,2.2299299127421444,,,,,,,
14,2007-05-31,28.440000534057617,13.050000190734863,2.1793103538993988,,,,,,,
15,2007-06-01,27.389999389648438,12.779999732971191,2.1431924852850215,,,,,,,
16,2007-06-04,27.360000610351562,13.289999961853027,2.0586907967557853,,,,,,,
17,2007-06-05,26.700000762939453,13.630000114440918,1.958914199468783,,,,,,,
18,2007-06-06,25.940000534057617,14.869999885559082,1.7444519659511972,,,,,,,
19,2007-06-07,26.110000610351562,17.059999465942383,1.5304807401943998,,,,,,,
20,2007-06-08,26.510000228881836,14.84000015258789,1.786388137217024,,,,,,,
21,2007-06-11,25.989999771118164,14.710000038146973,1.7668252687776431,,,,,,,
22,2007-06-12,25.809999465942383,16.670000076293945,1.5482903028084707,,,,,,,
23,2007-06-13,26.06999969482422,14.729999542236328,1.7698574680923742,,,,,,,
24,2007-06-14,26.350000381469727,13.640000343322754,1.9318181611607474,,,,,,,
25,2007-06-15,26.40999984741211,13.9399995803833,1.8945481092106264,,,,,,,
26,2007-06-18,27.149999618530273,13.420000076293945,2.023099811041729,,,,,,,
27,2007-06-19,26.719999313354492,12.850000381469727,2.079377316742023,,,,,,,
28,2007-06-20,27.139999389648438,14.670000076293945,1.8500340319360629,,,,,,,
29,2007-06-21,28.0,14.210000038146973,1.970443344464008,1.9313756567032783,0.039067687760729664,,,,,
30,2007-06-22,28.15999984741211,15.75,1.7879364982483879,1.9245764826430924,-0.1366399843947046,,,,,
31,2007-06-25,28.010000228881836,16.649999618530273,1.682282334571869,1.9126731518742697,-0.23039081730240074,,,,,
32,2007-06-26,27.790000915527344,18.889999389648438,1.471148851955815,1.8966923460134177,-0.42554349405760283,,,,,
33,2007-06-27,28.059999465942383,15.529999732971191,1.8068254957126106,1.8905625012856642,-0.08373700557305352,,,,,
34,2007-06-28,27.950000762939453,15.539999961853027,1.7985843520945948,1.8836758076028315,-0.08509145550823671,,,,,
35,2007-06-29,27.440000534057617,16.229999542236328,1.6906963221193452,1.8786950701803062,-0.18799874806096106,,,,,
36,2007-07-02,27.520000457763672,15.399999618530273,1.787013061003575,1.8737114965574413,-0.08669843555386625,,,,,
37,2007-07-03,27.450000762939453,14.920000076293945,1.839812374167085,1.8732090024569898,-0.03339662828990475,,,,,
38,2007-07-05,27.329999923706055,15.479999542236328,1.765503923248683,1.8656221759825746,-0.10011825273389152,,,,,
39,2007-07-06,27.399999618530273,14.720000267028809,1.8614129837961537,1.8613298977058246,8.308609032914305e-05,,,,,
40,2007-07-09,28.25,15.15999984741211,1.8634564831359428,1.8604006078798068,0.0030558752561360425,,,,,
41,2007-07-10,27.3700008392334,17.56999969482422,1.5577689991250296,1.847833489632955,-0.29006449050792527,,,,,
42,2007-07-11,27.690000534057617,16.639999389648438,1.6640625931322608,1.8347385559352931,-0.17067596280303232,,,,,
43,2007-07-12,27.350000381469727,15.539999961853027,1.759974288842176,1.8190733684719609,-0.05909907962978478,,,,,
44,2007-07-13,27.059999465942383,15.149999618530273,1.7861386235841712,1.8059676441281198,-0.01982902054394864,,,,,
45,2007-07-16,28.0,15.59000015258789,1.796023074146801,1.7943953304235125,0.001627743723288555,,,,,
46,2007-07-17,27.459999084472656,15.630000114440918,1.7568777276656402,1.7843348947871744,-0.02745716712153423,,,,,
47,2007-07-18,27.90999984741211,16.0,1.7443749904632568,1.7771835878203235,-0.03280859735706665,,,,,
48,2007-07-19,27.399999618530273,15.229999542236328,1.799080790681819,1.7790045486446777,0.0200762420371412,,,,,
49,2007-07-20,26.690000534057617,16.950000762939453,1.574631229068397,1.7804762316071439,-0.20584500253874682,,,,,
50,2007-07-23,27.09000015258789,16.809999465942383,1.6115408098300734,1.7746479873609122,-0.1631071775308388,,,,,
51,2007-07-24,27.420000076293945,18.549999237060547,1.4781671808111054,1.7650260510953613,-0.28685887028425583,,,,,
52,2007-07-25,26.84000015258789,18.100000381469727,1.4828729053545175,1.7628454711802293,-0.27997256582571173,,,,,
53,2007-07-26,27.790000915527344,20.739999771118164,1.339922913317809,1.7485143193544104,-0.4085914060366014,,,,,
54,2007-07-27,27.25,24.170000076293945,1.1274306956551041,1.721701403837556,-0.5942707081824519,,,,,
55,2007-07-30,30.15999984741211,20.8700008392334,1.4451364942312075,1.7067210166715752,-0.2615845224403677,,,,,
